frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
14,2.0,[873.8283980589707 258.5552349611953 1118.5745616557756 519.7164921685971],[953.1341552734375 423.51080322265625 1052.7879638671875 455.36065673828125],0.6301604509353638,MMAJ,0.11193003505468369
15,2.0,[869.360724311377 257.3602965383951 1118.064249270735 520.5055226386268],[951.4287109375 423.30694580078125 1049.904296875 454.86737060546875],0.5987311601638794,ATULZA,0.04225737380428658
16,2.0,[866.0986786972016 255.37488383186422 1118.5656846777076 520.24909131144],[951.37109375 423.0113525390625 1044.9127197265625 454.1099853515625],0.5494105815887451,0U,0.220307203136048
17,2.0,[861.2825382360038 254.04232331679034 1118.7522220851506 521.6546170812652],[950.04052734375 423.1143798828125 1047.716796875 454.5980224609375],0.6396942734718323,ELJ7TD,0.01415199578419517
18,2.0,[855.5512363264814 252.46737810036552 1118.6289721309631 523.1810745027562],[952.9677734375 424.25384521484375 1044.3388671875 454.34930419921875],0.6648736596107483,84U8,0.11261989176273346
19,2.0,[851.2961727681774 251.93421833267695 1119.032737850233 525.1226288719806],[951.0584716796875 423.934326171875 1041.671875 454.0135498046875],0.6329612135887146,E4JYAS,0.015910610728680524
20,2.0,[848.091821758229 249.95464162654537 1120.3066417291284 525.9289223551991],[950.933837890625 424.7645263671875 1044.464599609375 453.50244140625],0.6561683416366577,64,0.08271468613949633
21,2.0,[843.858344807419 248.93202156608353 1120.4156121601354 527.2131394160925],[949.427001953125 425.5390625 1044.510986328125 453.7686767578125],0.6655868887901306,64N4Y,0.15059800110599797
22,2.0,[837.7783477059551 247.8665556910862 1119.6853882860187 528.1972686496946],[946.5792236328125 425.5592041015625 1042.143310546875 453.8775634765625],0.6697841286659241,WIV43,0.06935986053704651
23,2.0,[832.516636190822 246.93886139701024 1119.7850336917943 529.0009406433954],[943.5567626953125 426.0928955078125 1041.505859375 454.41064453125],0.6586833596229553,6WIV45,0.03490753979022394
24,2.0,[826.4914117208322 245.54323121155826 1119.883417117079 529.1627002559826],[940.8804931640625 425.51251220703125 1042.1160888671875 453.99945068359375],0.6683046221733093,641,0.20365366339683533
25,2.0,[821.6979967846737 243.99522871290375 1120.3337792775337 529.7103777559475],[935.8582763671875 424.783203125 1044.1063232421875 455.18939208984375],0.6859278082847595,MYARS,0.06940691128052748
26,2.0,[817.8555171067368 242.78452313363442 1121.2644988695292 530.9303581138843],[932.2928466796875 424.643798828125 1043.994384765625 456.3851318359375],0.6909843683242798,640,0.5661959648132324
27,2.0,[812.2177686717671 241.72275098798136 1121.1864225552908 531.8366732359631],[933.612548828125 423.9637451171875 1041.32470703125 456.63177490234375],0.6922059059143066,ADIVIABOJ,0.026060854167361938
28,2.0,[823.634641429944 241.42643623084066 1127.8657534410115 533.3130053141047],[936.0322265625 425.363037109375 1040.418701171875 454.5467529296875],0.7172815203666687,BAJIN43,0.08109768405751687
29,2.0,[831.078073387013 240.87695531362274 1130.578250437933 534.7957902472688],[933.15283203125 426.92242431640625 1036.97998046875 453.84442138671875],0.6746753454208374,LE41,0.014667942876824863
30,2.0,[817.1506334179546 238.86021055005395 1124.3411509054843 535.6267967703371],[929.4942626953125 428.36163330078125 1034.173095703125 456.07232666015625],0.7125337719917297,45D,0.0814712681270751
31,2.0,[825.2733980597345 237.50768812203893 1129.164322188045 536.2541928203739],[924.6715087890625 427.2651672363281 1032.6358642578125 456.3402404785156],0.7168786525726318,BUU7E3,0.015609900733599266
32,2.0,[828.7534482277059 238.0309531992533 1130.5329236013272 538.537289943523],[922.7530517578125 428.2002868652344 1030.5208740234375 459.4259948730469],0.7013614177703857,BJUI,0.12445047323061792
33,2.0,[831.3427179569355 237.035128774789 1131.5833110454284 539.9443294180752],[920.384033203125 428.61102294921875 1028.164794921875 459.16949462890625],0.7119757533073425,QJ,0.17584860427164048
33,4.0,[360.0318003703562 255.074795320014 706.9835649589315 510.98893138533253],[406.8472900390625 365.80712890625 587.1044921875 437.99169921875],0.32144394516944885,101FN1,0.03130550215737022
34,2.0,[830.5367071288754 236.83555102502777 1131.1770825679978 541.6954279510351],[920.5035400390625 428.2846984863281 1026.8388671875 459.4443664550781],0.712677538394928,QJ,0.6844179113306573
35,2.0,[812.3671011838549 235.17669201400764 1124.3826211287917 543.4066433267903],[917.3937377929688 429.017578125 1020.1718139648438 458.740234375],0.6658440232276917,I8JJ,0.045643721733153265
36,2.0,[817.7075356251485 234.58817702640485 1128.8265238541464 544.1256162940651],[918.4976806640625 430.293701171875 1025.6334228515625 460.13134765625],0.7214809060096741,BLUIVJ,0.06817589388105218
37,2.0,[818.6384599103469 233.16810450662035 1130.2309102090264 546.6154148114459],[906.981689453125 428.7109069824219 1025.905517578125 460.8301086425781],0.6888560652732849,BAUINELJ,0.02847823479698403
38,2.0,[817.3722817300654 232.14403989415464 1130.2428019816703 550.8151599055705],[907.505859375 430.7854919433594 1013.195068359375 463.4949035644531],0.6327017545700073,LAI,0.056716180705056275
45,64.0,[794.7651557680861 216.95006676582972 1122.636698318451 574.1705418422671],[876.6736450195312 437.40899658203125 991.5910034179688 469.890380859375],0.45273327827453613,EITS,0.06177939847111702
47,64.0,[777.6205107997571 214.3584240861418 1123.1756672553076 575.0440817399171],[855.5975341796875 437.96826171875 954.31201171875 472.87835693359375],0.3818569779396057,LEUMT,0.028713360709590404
48,64.0,[770.346333455283 210.49769135024042 1124.3599675619137 575.2063262037243],[861.1204833984375 436.74517822265625 982.1256103515625 472.30377197265625],0.6056763529777527,84M7,0.11832478128315806
49,64.0,[763.7506010685757 211.12406260719226 1124.4491012785652 577.9494057728489],[855.8529663085938 435.32391357421875 979.3720092773438 473.7589111328125],0.6685329675674438,BAVIVIEU,0.043145125899948816
50,2.0,[756.2231864916474 212.6477740272955 1119.584709708406 573.4236855333825],[845.8297729492188 436.51171875 975.0436401367188 476.55694580078125],0.6064988374710083,VI,0.7756726724052926
51,2.0,[754.0312589564172 211.14005981362075 1122.4743074124488 576.2382437296757],[848.767578125 439.79632568359375 972.5859375 477.08770751953125],0.6249526143074036,BUUI,0.05008316412568092
