frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,3.0,[107.4832763671875 227.26600646972656 949.0166015625 664.0020141601562],[608.6534423828125 531.8103637695312 786.0053100585938 580.8920288085938],0.7805398106575012,R,0.9319489025934935
2,3.0,[113.11253536064555 226.90938420535164 945.0643067097233 657.3393333111067],[589.238525390625 529.9395751953125 773.1154174804688 580.5685424804688],0.7801041603088379,Q16,0.17502672144823028
3,3.0,[114.7263300517356 227.0500254472321 932.4189340748685 651.6070398521257],[575.2696533203125 529.7058715820312 757.5731201171875 572.8976440429688],0.8075025677680969,3,0.7573995680873082
4,3.0,[116.4227959084671 227.71959509407887 912.987026847753 644.9938876556278],[560.2196044921875 527.3792114257812 742.1226806640625 572.7461547851562],0.7875832319259644,VC,0.013017592136267273
5,3.0,[116.75617857996349 228.5162038797511 899.7561508276091 642.896256229871],[539.6739501953125 527.0253295898438 728.4382934570312 572.2634887695312],0.7962223291397095,R131,0.01165397906339296
6,3.0,[113.75289340915299 227.4153312941574 886.0390739435239 638.9401555359773],[526.2717895507812 521.7297973632812 706.5545654296875 568.1005249023438],0.8026312589645386,013,0.21655690808362218
7,3.0,[108.12263821018246 226.1131889754364 872.62852308816 634.387157450589],[509.0299072265625 514.0722045898438 693.330810546875 562.4710083007812],0.7772434949874878,R1320,0.059960099553228834
8,3.0,[106.47561183224116 224.28089106427234 861.4998353829559 628.912655360205],[504.8678283691406 508.2966003417969 681.9443359375 557.0519409179688],0.7564154267311096,R18F,0.06009402810771275
9,3.0,[111.24806856658245 221.76587032809144 858.8557867520378 623.306908755312],[493.67266845703125 505.79046630859375 675.861083984375 550.0966186523438],0.7860749363899231,R1JF,0.059110329484948196
10,3.0,[112.96299441624654 218.04480549111605 851.4531543564901 616.5530676985641],[482.64910888671875 503.8763122558594 671.3783569335938 545.1508178710938],0.7788745164871216,R13,0.654712581296262
11,3.0,[114.56205670049951 219.80766354185272 841.2615032073201 613.1198206602271],[476.7997131347656 498.69866943359375 658.8812866210938 539.7760009765625],0.7826947569847107,PJC,0.07017674151244319
12,3.0,[113.97974458382748 215.80727953210683 834.8744539165187 607.103800598027],[464.6825866699219 492.07427978515625 644.5635375976562 534.362548828125],0.7942385673522949,P1J,0.308210750943174
13,3.0,[113.81099842958741 214.83403657884583 830.7873723379057 603.9090050280015],[448.3123474121094 485.9859313964844 634.4744262695312 530.46240234375],0.7523161768913269,P,0.553209511528113
14,3.0,[107.16398545401074 212.63563932181052 820.3999291931209 600.6156254721645],[435.17840576171875 482.6250305175781 619.3416137695312 528.1304321289062],0.7478389739990234,P,0.914481114931224
15,3.0,[101.94664138337208 212.3016414769717 810.3518397655494 598.3620150249528],[418.2901611328125 480.078125 607.8470458984375 526.5038452148438],0.7566599249839783,P,0.3865134700649975
17,3.0,[95.72450143085825 199.84028372140887 794.6689775982393 592.5804291774048],[392.4750671386719 478.5524597167969 578.9583740234375 521.050537109375],0.7698838114738464,P3,0.061109207570552826
117,138.0,[-9.441636316594611 194.22282394832632 864.4519721624292 707.3358548213401],[345.3976745605469 605.0996704101562 590.3436889648438 663.1121826171875],0.7933008074760437,L6S61H,0.4565988746175307
118,138.0,[-8.776266680803928 197.77977404036525 834.5330232451163 703.2876579763952],[331.3678894042969 589.0465698242188 562.8746337890625 649.7410888671875],0.7501948475837708,L6S61A,0.20060897545538559
119,138.0,[-6.005585764763737 205.7335313318541 811.202517299136 702.0817985145877],[312.022216796875 580.5646362304688 539.9585571289062 639.6795043945312],0.8004325032234192,L6S6XH,0.7929207240183451
120,138.0,[-4.90093341746649 212.53951026396504 785.6859969325558 699.9617570688536],[297.3643798828125 571.3003540039062 519.0245971679688 624.7765502929688],0.8210573196411133,L6S6XH,0.718278480483087
121,138.0,[-2.7589994829287434 216.8619745438791 766.1447329984471 697.1694198418325],[291.6466369628906 560.7960205078125 505.5925598144531 614.865478515625],0.7407547235488892,L656XH,0.48818849563160505
122,138.0,[0.669596871147121 220.0033456885676 749.6517944531727 690.8913636801016],[288.72735595703125 553.3154296875 496.8869323730469 606.1821899414062],0.7783936262130737,L656XH,0.6322400891787615
123,138.0,[1.9754002882604595 224.34054069384518 735.9101113686177 685.6938747767799],[283.13909912109375 552.1436157226562 488.6003112792969 598.2869262695312],0.8089635968208313,L656XH,0.5497777332802587
124,138.0,[3.10596415021962 230.83533285006712 722.8298139678532 683.4648641476692],[280.8896484375 552.3953857421875 484.44097900390625 597.1935424804688],0.8214487433433533,L656XH,0.925857739239917
125,138.0,[6.441274654231506 240.88015389636553 714.1141086448273 684.1646008956025],[284.0914306640625 554.303955078125 480.91778564453125 596.9586181640625],0.8112720847129822,LL6S6XH,0.09655259002776376
126,138.0,[10.047771724257075 251.81337226840972 707.257598126389 685.0134845379267],[286.90118408203125 559.6520385742188 477.58306884765625 600.780029296875],0.793216347694397,L6S6XH,0.8232479522783739
127,138.0,[27.274656753617762 266.10946414160344 712.2401669054368 689.3794907427965],[295.467529296875 563.1370239257812 472.9969482421875 609.2342529296875],0.7493106126785278,L656XH,0.6162431548723196
128,138.0,[34.51842577982336 281.08447790056323 706.074474451327 696.221454368832],[294.81134033203125 570.17626953125 473.03704833984375 615.03466796875],0.7581495046615601,L656XH,0.3661607131491646
129,138.0,[35.6174358937086 296.0403989780442 698.9623852501422 703.1339166639501],[290.500732421875 583.2311401367188 471.7579345703125 624.826171875],0.7945919632911682,L656XH,0.5910223957353546
130,138.0,[48.814091913236666 308.7794660197095 702.7710628597794 706.1219346041387],[296.90289306640625 593.8490600585938 467.58441162109375 638.192626953125],0.7181406617164612,L656XH,0.9418949325308102
131,138.0,[56.20380380272712 321.42440330348177 703.6735770833948 707.203621520245],[295.8315124511719 604.4210815429688 460.634765625 645.9512939453125],0.7658369541168213,L656XH,0.9227361561822638
132,138.0,[58.81383080865919 333.07055183709593 701.6268584854691 709.4280832995337],[282.4720764160156 617.5681762695312 459.3086853027344 659.971923828125],0.771681547164917,L656XH,0.7940354080562841
133,138.0,[57.88711360348168 346.7914630823302 694.0952609371556 714.9459926334189],[285.27996826171875 626.5572509765625 456.025634765625 669.6195678710938],0.779570996761322,0656XH,0.5622005383863752
134,138.0,[57.42581881576484 356.84333625390525 691.5717825844639 717.1939066111682],[278.9578857421875 637.1236572265625 458.024169921875 680.9788208007812],0.809281587600708,L656XH,0.7131726570065942
135,138.0,[54.88271773403147 362.8250244689061 691.7907008669961 717.328434755327],[282.3451843261719 643.693115234375 458.92144775390625 684.832763671875],0.7735604047775269,L656XH,0.4727692580004896
136,138.0,[61.25468900370254 367.25803839010234 698.3843852949907 716.8632982046216],[279.1282043457031 645.724365234375 463.5906066894531 692.8157958984375],0.7537193298339844,L656XH,0.9258264123528119
137,138.0,[65.8583242388184 370.6423337271475 704.6817848417722 716.3250445255013],[291.56622314453125 648.1231689453125 468.0552062988281 693.5614013671875],0.7167952656745911,L656XH,0.5306789853485103
