frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,3.0,[107.4832763671875 227.26600646972656 949.0166015625 664.0020141601562],[608.6534423828125 531.8103637695312 786.0053100585938 580.8920288085938],0.7805398106575012,R103JF,0.12352899415025176
2,3.0,[113.11253536064555 226.90938420535164 945.0643067097233 657.3393333111067],[589.238525390625 529.9395751953125 773.1154174804688 580.5685424804688],0.7801041603088379,R783JF,0.2465861126647427
3,3.0,[114.7263300517356 227.0500254472321 932.4189340748685 651.6070398521257],[575.2696533203125 529.7058715820312 757.5731201171875 572.8976440429688],0.8075025677680969,R103JF,0.7982954015105646
4,3.0,[116.4227959084671 227.71959509407887 912.987026847753 644.9938876556278],[560.2196044921875 527.3792114257812 742.1226806640625 572.7461547851562],0.7875832319259644,R183JF,0.27008845401903525
5,3.0,[116.75617857996349 228.5162038797511 899.7561508276091 642.896256229871],[539.6739501953125 527.0253295898438 728.4382934570312 572.2634887695312],0.7962223291397095,R183JF,0.5847041547271155
6,3.0,[113.75289340915299 227.4153312941574 886.0390739435239 638.9401555359773],[526.2717895507812 521.7297973632812 706.5545654296875 568.1005249023438],0.8026312589645386,R183JF,0.8981663702717202
7,3.0,[108.12263821018246 226.1131889754364 872.62852308816 634.387157450589],[509.0299072265625 514.0722045898438 693.330810546875 562.4710083007812],0.7772434949874878,R183JF,0.9632123911827998
8,3.0,[106.47561183224116 224.28089106427234 861.4998353829559 628.912655360205],[504.8678283691406 508.2966003417969 681.9443359375 557.0519409179688],0.7564154267311096,R83JF,0.5814734783565236
9,3.0,[111.24806856658245 221.76587032809144 858.8557867520378 623.306908755312],[493.67266845703125 505.79046630859375 675.861083984375 550.0966186523438],0.7860749363899231,R183JF,0.7960872889150818
10,3.0,[112.96299441624654 218.04480549111605 851.4531543564901 616.5530676985641],[482.64910888671875 503.8763122558594 671.3783569335938 545.1508178710938],0.7788745164871216,R183JF,0.9921534788351574
11,3.0,[114.56205670049951 219.80766354185272 841.2615032073201 613.1198206602271],[476.7997131347656 498.69866943359375 658.8812866210938 539.7760009765625],0.7826947569847107,R183JF,0.5056558802326162
12,3.0,[113.97974458382748 215.80727953210683 834.8744539165187 607.103800598027],[464.6825866699219 492.07427978515625 644.5635375976562 534.362548828125],0.7942385673522949,R183JF,0.6706242062340642
13,3.0,[113.81099842958741 214.83403657884583 830.7873723379057 603.9090050280015],[448.3123474121094 485.9859313964844 634.4744262695312 530.46240234375],0.7523161768913269,R183JF,0.9714969849165933
14,3.0,[107.16398545401074 212.63563932181052 820.3999291931209 600.6156254721645],[435.17840576171875 482.6250305175781 619.3416137695312 528.1304321289062],0.7478389739990234,R183JF,0.4037249292832264
15,3.0,[101.94664138337208 212.3016414769717 810.3518397655494 598.3620150249528],[418.2901611328125 480.078125 607.8470458984375 526.5038452148438],0.7566599249839783,R183JF,0.9514441709658784
16,3.0,[96.78486031260536 211.9687658015066 801.4714174352973 596.420337505791],[403.13299560546875 479.3528747558594 591.4498291015625 525.4755859375],0.7729648947715759,R183JF,0.8372862420978255
17,3.0,[95.72450143085825 199.84028372140887 794.6689775982393 592.5804291774048],[392.4750671386719 478.5524597167969 578.9583740234375 521.050537109375],0.7698838114738464,R183JF,0.7249530873663126
18,3.0,[91.41546876459125 203.87020342881183 787.495839691418 594.8177879594684],[383.6527099609375 478.0933532714844 565.2730712890625 520.8112182617188],0.7874746322631836,R183JF,0.5697910919501816
19,3.0,[96.76653123940577 208.51976572972197 780.7114862105684 598.5781242749276],[368.02392578125 478.6222229003906 560.9955444335938 521.7428588867188],0.7624786496162415,R183JF,0.9980991450221165
20,3.0,[88.2952119195487 176.72316952972093 772.3560852855618 587.9249504193585],[361.158447265625 479.1369323730469 550.4349365234375 524.075439453125],0.7591972947120667,R183JF,0.8633764771005061
21,3.0,[93.48524674254492 196.29197682816334 766.0498593720636 601.1684243743398],[354.7644958496094 477.7969970703125 537.108154296875 524.6285400390625],0.7876154780387878,R183JF,0.8876657817167595
22,3.0,[90.70857185610726 209.66267806317703 755.7664426470149 607.6346270241537],[347.0839538574219 480.8989562988281 533.2986450195312 524.59423828125],0.7714735269546509,R183JF,0.9898238595650078
23,3.0,[83.36700562181238 217.44380585594274 746.1174813349676 610.5141942646891],[338.91680908203125 480.5079650878906 525.090087890625 528.068115234375],0.7511503100395203,R183JF,0.8625381227683426
24,3.0,[80.63262073509952 218.5607375446946 741.6977998995525 610.8161236895102],[332.9685363769531 482.6968688964844 520.0370483398438 529.8397827148438],0.7270553112030029,R183JF,0.985918863478525
25,3.0,[74.65840693562927 218.858782134309 734.5472288963576 612.6109316837203],[326.4275817871094 479.9812316894531 511.7855529785156 529.961181640625],0.7505066394805908,R183JI,0.4885193751297512
26,3.0,[65.20484527132703 219.12823726897707 727.2144685817223 614.3291579286058],[317.5019836425781 483.230712890625 506.998291015625 529.7733154296875],0.7645788192749023,R183JF,0.6391524098790661
27,3.0,[60.41227268599022 220.20851180181907 724.7736866732682 614.6525890000559],[304.9871520996094 479.7000732421875 499.7980041503906 527.7520751953125],0.74067622423172,R183JF,0.9826964724164603
28,3.0,[50.29810607887504 217.16462274888926 718.6616797859758 613.9475613931511],[302.5498352050781 478.88946533203125 491.76129150390625 527.123291015625],0.7570569515228271,R183JF,0.8099640177910663
29,3.0,[47.194562026808114 217.11446596256513 719.4765727029517 613.2437719731986],[294.4441833496094 476.9817199707031 483.2001037597656 522.4894409179688],0.7974286675453186,R183JF,0.8120473641918603
30,3.0,[43.78242245742564 216.91518720265105 717.6865196247716 610.5109660191317],[289.6769104003906 475.87353515625 476.7249450683594 518.4835815429688],0.798304557800293,R183JF,0.9931159366265371
