frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
507,634,[305.70631511706574 178.30736034942734 605.9601087455554 641.2703382197845],[539.1452026367188 491.28466796875 604.89404296875 529.5845336914062],0.626066148,UP3Z,0.125158542
508,634,[303.9547937465569 178.92732412350273 606.7047234254053 642.9492454138388],[534.1834106445312 492.10137939453125 602.098876953125 530.903564453125],0.603009462,UP3Z,0.534278989
509,634,[300.5862020956565 180.43031687657356 606.5194779192925 645.2144113271846],[529.43115234375 496.9510192871094 606.0087280273438 535.8764038085938],0.605462015,UP32,0.719733834
510,634,[298.0859211680563 178.4017744731129 606.7502226348937 643.7313935863145],[528.3117065429688 496.98492431640625 603.7534790039062 536.8297729492188],0.631976902,UP32,0.945669532
511,634,[294.9595349957679 178.12298262964222 606.6472565500205 645.1158472248651],[523.2651977539062 494.8149719238281 605.4491577148438 537.2772827148438],0.575615466,UP32K,0.20619188
514,634,[281.6568159827137 175.68501508321364 605.602038600126 644.0389057857628],[494.7204284667969 492.2792053222656 605.015380859375 534.8512573242188],0.662865579,UPYIKIRL,0.052839711
524,634,[238.32636593192962 185.0980883508647 606.7105450181907 655.1533011752767],[453.32708740234375 516.01708984375 604.9349365234375 548.94775390625],0.740980089,UP32KR899,0.541091703
526,634,[236.57568483760903 182.15199127883685 607.9551765829486 655.455548034313],[465.0656433105469 516.3916015625 606.60693359375 547.6787719726562],0.73456949,UP32KR89,0.833377562
771,1138,[48.942168284873276 174.93604861428042 595.6262586707264 710.0273293017995],[275.94091796875 402.4401550292969 447.73797607421875 451.4479064941406],0.805082679,UP32JUJ9940,0.213803632
772,1138,[43.09577153665805 176.03736928769797 595.2150164326871 713.7857504058105],[279.6818542480469 407.97955322265625 440.8536682128906 452.7552490234375],0.797364056,UP32JU9840,0.812519654
773,1138,[38.37899413214586 182.86551098062552 596.4045188732943 724.8094445589757],[271.3580627441406 413.69293212890625 440.1300048828125 465.45953369140625],0.787333071,UPZZEE4,0.03943633
775,1138,[30.28146010224441 186.24383718856052 597.7142152363355 735.9869490036241],[272.01251220703125 415.5936279296875 442.9059143066406 468.1527099609375],0.796615124,UPJUDEAT,0.187911933
776,1138,[26.813925470062316 187.96171230115124 598.7433600263428 741.376735460665],[274.2742614746094 419.6940002441406 448.2063293457031 469.3013916015625],0.799012423,UP32JU984,0.746426116
777,1138,[27.215781647668337 183.4478182188621 603.3450261927052 743.6083550786295],[273.1579284667969 427.5946044921875 453.6120300292969 473.5830993652344],0.824025035,UP3ZJJ264C,0.119304958
786,1138,[93.28803519538411 178.60749278158738 624.7048274472788 735.1444281508248],[375.86407470703125 439.5718994140625 559.646240234375 488.38397216796875],0.798944056,L732333,0.036928756
839,1232,[194.63309588012015 112.8851008699969 608.2164661950742 753.0088343067143],[494.9214782714844 402.02081298828125 605.4722900390625 455.89495849609375],0.760498762,UPA2JL,0.287512767
