frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
107,52,[736.8219162204717 129.76997037665132 1280.7710934573574 702.4622191456615],[1040.040283203125 570.7464599609375 1218.297119140625 654.1751708984375],0.750517786,KA05MR9633,0.277303831
112,52,[729.5404405104312 136.18410459345506 1279.617918560745 704.9944345989963],[1041.779052734375 577.5318603515625 1223.349365234375 656.56201171875],0.751621425,KAO5MR9632,0.210946274
115,52,[730.4943721601794 134.5264203275716 1281.081666070836 702.9322971407782],[1043.3935546875 573.0798950195312 1222.86279296875 661.0188598632812],0.772094846,KA05MR9632,0.244109154
122,52,[727.9769164895814 131.90534122601082 1279.9761153473592 714.896241160668],[1043.406982421875 572.9047241210938 1227.870849609375 660.2384643554688],0.771883488,KA05MR9632,0.214824701
132,52,[727.6723860648333 127.83891461128405 1280.6458646834985 716.959972977028],[1067.016845703125 580.8307495117188 1234.957275390625 664.3397827148438],0.695808709,K405MR9622,0.295720421
135,52,[726.7757662065862 126.13925935574196 1280.1377850030467 713.646721968514],[1075.8603515625 583.05712890625 1239.16259765625 666.5455322265625],0.645314276,KA05MR9632,0.412307742
136,52,[726.8481400739857 126.87119648635183 1280.3522406162933 714.8461855574096],[1057.82373046875 580.809326171875 1247.25439453125 673.644775390625],0.670167089,KAO5MR9633,0.267645872
143,52,[728.8643573575382 127.14622635824924 1280.3843266496253 714.86241806236],[1062.630126953125 594.5433349609375 1256.203857421875 691.6278076171875],0.75596863,KA05HR9622,0.255590454
146,52,[726.5263540955411 125.93591420111505 1279.8350735640936 714.2489647432865],[1073.345947265625 598.8939208984375 1253.383056640625 690.253662109375],0.76271832,KA05MR9622,0.300554802
516,579,[607.7118396421088 239.2973841696732 1176.5989547703607 711.1324738599437],[867.9150390625 602.4548950195312 1033.802490234375 681.7428588867188],0.759304583,K405W'793,0.053255326
517,579,[607.075671446597 241.7194205832386 1177.5583479151633 711.0865689727949],[866.307861328125 605.39697265625 1033.705322265625 685.153564453125],0.750501454,K405#3962,0.115627895
521,579,[608.4312327505654 252.8350112765942 1180.5916096843334 713.7930737861323],[865.2733154296875 615.6901245117188 1033.13232421875 697.6953735351562],0.724520087,KA05WR9632,0.332655186
525,579,[607.9159646924493 266.45104099936657 1184.1666555188165 716.2123037981858],[864.7919921875 629.173828125 1039.488037109375 715.101806640625],0.774584889,KA05WR963,0.195073028
