frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,4.0,[19.94671630859375 0.525421142578125 574.9270629882812 208.33135986328125],[437.49249267578125 95.46636962890625 546.3139038085938 150.02523803710938],0.815856397151947,KAOAN1TL,0.006488919340769744
2,4.0,[19.95518827757644 0.5273693979955567 574.9116337064529 208.31630561721812],[437.47357177734375 95.4759521484375 546.2229614257812 150.01956176757812],0.8160732388496399,KAOAN1TL,0.006488919340769744
3,4.0,[19.091417552743394 0.5202464672050695 575.7123240589628 208.7861246177198],[436.84246826171875 95.61292266845703 546.7338256835938 151.78662109375],0.8095138072967529,XAOZMUE,0.056942352728295294
4,4.0,[18.7340413855012 0.48716185447031535 575.8677557014835 208.84408131733758],[436.81884765625 95.38833618164062 547.2021484375 151.7767333984375],0.8085080981254578,LXAOAUTLE,0.04765008241130545
5,4.0,[15.64808757135495 0.9419831390363669 577.9614038720733 212.44593106015935],[441.08563232421875 100.87411499023438 548.9020385742188 153.93203735351562],0.8392573595046997,FAOZWTE,0.08023828081039663
6,4.0,[14.695804417484396 0.749629122828182 578.7693974629387 213.80035717071945],[441.02630615234375 100.79121398925781 548.7691040039062 153.92494201660156],0.8388517498970032,FAOZTE,0.1863431996214733
7,4.0,[13.535923871017644 0.6669457094064057 580.2834370808332 215.41088945689856],[442.1103515625 100.19933319091797 549.1947021484375 154.92010498046875],0.839199423789978,KOENIID,0.1702208378609785
8,4.0,[13.021195589944568 0.42458137735088997 580.9721355980585 216.14575427489228],[442.166259765625 100.08511352539062 549.3701171875 154.93057250976562],0.8400541543960571,LKAOZWUUE,0.017933753057779812
9,4.0,[12.281440132165187 0.6913833907212279 585.8906525246941 218.73038118078955],[445.38134765625 102.00860595703125 552.294189453125 157.800537109375],0.8275160789489746,1XAOSIIE,0.011129207124933073
10,4.0,[11.835950157219713 0.493561969451207 588.5880897822345 219.94293520549542],[445.41448974609375 102.01470184326172 552.3303833007812 157.71044921875],0.8256027698516846,XAOANIIE,0.025985243813675504
11,4.0,[12.281177543834929 0.5469418099344665 591.3838316444338 221.5536760312342],[444.8411865234375 104.06513214111328 553.1980590820312 158.92230224609375],0.8358899354934692,MOZUY,0.042720653333219186
12,4.0,[12.054280824258228 0.32422601124804373 592.4556438267482 222.32315529920956],[444.8302001953125 104.03839111328125 553.2252197265625 158.96463012695312],0.834234893321991,X70ZLIEA,0.004389490855253872
13,4.0,[13.283209602252384 0.6021850667338526 596.3029987502503 224.40506911993603],[448.97381591796875 103.56990814208984 564.2857055664062 162.25711059570312],0.835453987121582,XADIWLE,0.03378175503793719
14,4.0,[13.579445963437763 0.3954558840346465 597.7654714190094 225.30053053400428],[448.93994140625 103.53863525390625 564.5875244140625 162.28857421875],0.8370997905731201,XAOINLE,0.01742051906916914
15,4.0,[11.631535779489809 0.60937933928723 599.5936180188502 227.35651040559242],[453.15350341796875 104.32768249511719 565.1469116210938 163.88340759277344],0.8348054885864258,XAOZV1E,0.016660822079458296
16,4.0,[10.629611180636573 0.3661501887627594 600.9143716388492 228.28018464858687],[453.12060546875 104.21858215332031 565.065673828125 163.94911193847656],0.832136869430542,KAOANIE,0.03793364624599545
17,4.0,[9.45840902671415 0.5359867112235435 604.2132519165539 230.23762602508862],[454.40557861328125 106.51539611816406 566.1786499023438 165.8153533935547],0.8185315132141113,MOZWUA,0.00976662975486913
18,4.0,[8.025911891303679 0.3459661359128461 605.7710729410719 231.29307729366997],[454.406982421875 106.70602416992188 565.9259033203125 165.78143310546875],0.818861722946167,MOZUA,0.09286591180789022
19,4.0,[11.74442605512229 0.777239742786378 610.2156036706527 233.26373286856165],[457.13873291015625 108.17619323730469 567.8947143554688 167.1416778564453],0.8154090046882629,XAOZLUE,0.4017330842252625
20,4.0,[12.93958056429716 0.6135124048332585 611.8319031877593 234.09595378031906],[457.1416931152344 108.10932922363281 567.7547607421875 167.16551208496094],0.8161499500274658,OZSUE,0.21398536089350634
21,4.0,[9.42364381542717 1.0838468067438924 611.4814240773826 236.49818397780564],[457.6907958984375 108.0660629272461 572.5732421875 168.73593139648438],0.7997952699661255,LXAOIWIEE,0.0024985864032855015
22,4.0,[7.660449428718778 0.897817050060695 612.1787336650789 237.64396293936417],[457.7568359375 107.86274719238281 572.0576171875 168.65687561035156],0.8018962740898132,XAOAIUIET,0.019528887519854984
23,4.0,[7.924756270920511 1.1871456459583385 613.9967861121759 239.73766781183286],[460.0310974121094 109.36624145507812 574.9600830078125 172.6673583984375],0.8162851929664612,XADEWIE,0.03430528315614216
24,4.0,[5.393195770119803 1.4511052829072781 613.547711497532 241.75065221556122],[460.0352478027344 109.3226318359375 575.1700439453125 172.66787719726562],0.8171724081039429,XAOZWUILE,0.00924752736748899
25,4.0,[2.983671776878907 1.6576913337372048 613.9120708465414 243.9024385669585],[460.7008361816406 110.12077331542969 577.0093994140625 175.3143768310547],0.8301132321357727,XADATUE,0.05997634012139323
26,4.0,[1.527411821478097 1.3699474223295312 614.3697349757747 244.97017472237906],[460.7081298828125 110.20993041992188 576.961669921875 175.31668090820312],0.8314269185066223,XAOZLULE,0.03915574573967131
27,4.0,[0.6947853293731328 1.646028692536376 615.4057966627786 247.1575459261215],[463.33221435546875 116.45809936523438 576.1358032226562 178.36990356445312],0.834210216999054,XAOZWE,0.40098826887182804
28,4.0,[0.22222518394653434 1.4259505452086927 616.0997555732591 248.31240071351],[463.38214111328125 116.1375732421875 576.2736206054688 178.36602783203125],0.8336226344108582,PXAQANUE,0.027328736147429335
29,4.0,[-1.1204856954952902 1.7072596532799906 615.2182019590787 250.4723500367033],[466.33599853515625 120.58204650878906 577.9547729492188 180.87339782714844],0.829031229019165,FKAOATE,0.04342436410129235
30,4.0,[-1.6024314694421946 1.4368200683938426 615.1026240703746 251.5102077057093],[466.17059326171875 120.50869750976562 578.2727661132812 180.92947387695312],0.8291820287704468,FKAODNTE,0.0869305832419165
31,4.0,[-2.0131906333025995 1.6583832512949925 615.5076338370509 253.53880732178362],[465.82220458984375 119.54116821289062 580.8624877929688 182.58432006835938],0.8406137228012085,XADZU1E,0.04334745437068078
32,4.0,[-2.253083701340813 1.381232090966563 615.7205680978418 254.51443745027254],[465.79901123046875 119.52084350585938 580.8757934570312 182.57058715820312],0.843083918094635,XADZU1E,0.04678283331762603
33,4.0,[-1.6122603943122726 1.766396796995096 617.2340793828571 256.8974409473084],[466.80328369140625 122.47747802734375 577.7523803710938 183.82794189453125],0.8184515833854675,XAOADIIE,0.05349491745881783
34,4.0,[-1.6981266022954742 1.522763199920405 617.7061157488895 258.03706107381663],[466.57965087890625 122.28773498535156 577.9733276367188 183.85032653808594],0.8189489841461182,XAOZSUIE,0.02548048225943319
35,4.0,[-1.7864297180743165 1.1647543777251883 617.9644983865724 258.65326914642185],[466.574951171875 122.3056640625 577.9757080078125 183.84954833984375],0.8186300992965698,XAOZSUIE,0.02548048225943319
36,4.0,[-1.6211936593761607 1.112719550567789 618.2460542601877 259.7599801122773],[469.92822265625 122.20468139648438 582.093505859375 184.24026489257812],0.806549608707428,XAOZIT,0.010683106473867592
37,4.0,[-1.6788090020419872 0.9140430849626284 618.1779449593507 260.4446748151264],[469.86138916015625 122.2708740234375 582.0776977539062 184.25225830078125],0.8058736324310303,XAOZWIE,0.0479343000828327
38,4.0,[-1.3973708513153156 1.1410241820162526 619.1219762731994 262.0199743741118],[472.666015625 126.5804443359375 583.6373291015625 190.91387939453125],0.8049430847167969,XADZIE,0.0360306914674398
39,4.0,[-1.7722886371574873 1.0667137618299023 619.1504923049165 263.0684481307137],[472.6392517089844 126.72982788085938 583.5740966796875 190.9395751953125],0.8049472570419312,XAOZI1,0.04753955207977399
40,4.0,[-1.9725811913132247 0.8091184445474084 619.1639330519706 263.58236828789063],[472.63226318359375 126.72030639648438 583.6010131835938 190.9345703125],0.8052026629447937,XAOZI1,0.04753955207977399
41,4.0,[3.805725501161362 0.8700507518262555 625.3545405880486 264.84864736275733],[474.3531494140625 127.455078125 585.750732421875 193.8724365234375],0.7989553809165955,XAOADL,0.031709276986833804
42,4.0,[6.271284223119892 0.709473388647524 627.8884770263139 265.6013507509525],[474.44805908203125 127.30220031738281 585.7351684570312 193.8157501220703],0.7970039248466492,XAOADL,0.03870880949563786
43,4.0,[8.11837489500897 1.7210628477584748 629.8016476021194 268.91743887764255],[476.2520446777344 128.94427490234375 587.3013916015625 196.77523803710938],0.8145083785057068,XAOCIL,0.010188503078794903
44,4.0,[8.685703618142725 1.6658624847890735 630.5692524945537 270.4974301729138],[476.2825927734375 129.26980590820312 586.8570556640625 196.79360961914062],0.8144088387489319,XAOZTL,0.13009476055707175
45,4.0,[7.452916520394467 0.922233996718802 631.9953994437246 270.4883451703014],[477.13958740234375 131.49871826171875 587.8671264648438 197.6790771484375],0.8205035924911499,KAOTL,0.3416143514052904
46,4.0,[7.188592034416274 0.37352643597597535 632.7326505375703 270.4820462730031],[476.86273193359375 131.71913146972656 587.3267211914062 197.69102478027344],0.8208732604980469,MEI,0.11158073932424475
47,4.0,[6.27856961481524 0.578260273197543 633.8106046594737 271.9739223585065],[477.87005615234375 136.25704956054688 592.1178588867188 199.68136596679688],0.8071308732032776,JEA,0.023097671568393707
48,4.0,[6.030369612111031 0.4687435674721314 634.7685031140998 272.83137511270155],[477.7497253417969 136.57949829101562 591.7607421875 199.63534545898438],0.808046817779541,KADA,0.24113310873508453
49,4.0,[6.03535853331897 0.5784377584699314 634.9130341050895 273.95048240963683],[478.5794677734375 134.19332885742188 596.265869140625 200.3597412109375],0.8039937615394592,IXAOETL,0.030346103256508227
50,4.0,[5.266860669455468 1.4542038753018005 637.0130280291429 277.27425019997156],[484.5552673339844 137.87677001953125 598.5482177734375 201.68966674804688],0.8019718527793884,XAOAEIULA,0.09556285763346915
51,4.0,[4.459610500506983 1.4056616161890645 638.3622903644389 279.0846311199995],[484.61090087890625 137.85537719726562 598.5668334960938 201.641845703125],0.8018708229064941,XAOAEIULA,0.11147104844299108
52,4.0,[4.213525341012996 1.8089630830908447 639.2525374896045 281.86817024580773],[488.1544494628906 142.9227294921875 601.0416259765625 208.90365600585938],0.7836874723434448,XAOL,0.08176103979349136
53,4.0,[3.9531607124935135 1.4788550752898857 639.6352726638474 283.1919678309507],[488.16229248046875 142.95437622070312 600.9505004882812 208.86575317382812],0.7828903794288635,ZL,0.0635570631415938
54,4.0,[6.016385575135075 1.3565549647273372 639.9991692010678 284.6140289769854],[489.2929382324219 142.45681762695312 605.84326171875 209.69302368164062],0.781607449054718,XAOTZTL,0.014067682803759127
55,4.0,[5.923250475818065 0.9590890540008559 639.4099402675802 285.29698664777555],[489.237548828125 142.36883544921875 605.719970703125 209.79107666015625],0.7810177803039551,XAOICIL,0.0046615266117614575
56,4.0,[2.629896146375131 1.6797283950350277 638.7119360753103 288.37754432371355],[492.9429931640625 146.59292602539062 609.5465087890625 214.70828247070312],0.8009949922561646,IXADIZUL,0.004715644350026059
57,4.0,[1.086991957321061 1.5240527100951908 638.8269868600248 289.9379543492185],[493.06414794921875 146.81817626953125 609.6166381835938 214.66998291015625],0.8011197447776794,XAOAXTE,0.035698574037892984
58,4.0,[-0.16274378020477798 1.1521044608948614 638.7630404504401 290.8714779412016],[495.52813720703125 148.78302001953125 611.2066040039062 215.88162231445312],0.8003507852554321,XADZIL,0.0708033268351437
59,4.0,[-0.7746797632344737 0.7576579488947743 638.9160551529599 291.3887758069375],[495.3690490722656 148.684326171875 611.3048095703125 215.91494750976562],0.7989027500152588,RXAOE,0.05709006618870546
60,4.0,[-1.395694946689332 2.385746765512522 639.3883195317766 296.40225286842735],[505.1072998046875 158.81301879882812 613.893798828125 226.44815063476562],0.7789928913116455,ZA,0.3985468626212062
61,4.0,[-1.8227360470157237 2.474426840159765 639.7074414048627 299.08536685669424],[505.09710693359375 158.44674682617188 614.1503295898438 226.44656372070312],0.777623176574707,Z,0.17628963156495558
62,4.0,[-1.9540753076931878 3.168736044307849 640.4759171173015 303.2440107292406],[509.2449645996094 166.8735809326172 616.0899658203125 231.14161682128906],0.7927684783935547,FXADA,0.029472725028771695
63,4.0,[-2.0899045936886864 2.520067597224539 640.8451421958389 304.76050216034037],[509.1470947265625 166.20999145507812 616.1275634765625 231.18942260742188],0.7926836609840393,KAOLS,0.019956578577462247
65,4.0,[-2.1824491406442235 3.243984733824618 641.1855234787454 312.6128441903212],[513.4818115234375 174.3761749267578 623.7301025390625 237.8258514404297],0.7588062286376953,MLLIL,0.09935878837639837
66,4.0,[-2.199853859789471 2.5549146315351265 641.1920578497218 314.14733671871045],[513.4775390625 174.3695068359375 623.732421875 237.82882690429688],0.7588741183280945,MLLIL,0.09935878837639837
67,4.0,[-2.1688803704752218 1.869853384897823 641.1885464430507 315.07892199514356],[513.552978515625 174.3846435546875 623.7236328125 237.81607055664062],0.7587361931800842,MILJL,0.03985454414393034
70,4.0,[2.6171999847200027 5.373986875138968 643.864393667463 335.2832956894257],[529.8944091796875 190.6910400390625 639.7044677734375 263.44122314453125],0.7371657490730286,704,0.8560762292467364
