frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
114,163.0,[72.28372892515443 511.57504478119176 687.458694077287 989.841260634222],[347.7491455078125 839.8106689453125 453.5621337890625 884.2518310546875],0.2864629626274109,{6J094,0.38620124134785194
116,169.0,[61.242438097659715 536.3908871658405 683.7499801627598 971.370936877159],[321.02825927734375 848.096435546875 413.03131103515625 884.7376708984375],0.2506856620311737,(6309,0.7687458132015899
119,169.0,[57.36113970350402 543.156616252646 654.4209801020532 969.4824003376343],[310.09344482421875 857.164794921875 374.25128173828125 889.38916015625],0.3367699980735779,6309,0.9787283539772034
122,169.0,[32.85367116609109 552.2577346594071 627.3787751322009 966.030612157459],[282.4505615234375 859.34912109375 369.259765625 896.5869140625],0.28381213545799255,6309,0.9958944320678711
129,188.0,[-2.100430845679739 847.7452372487758 418.04908798520484 1279.3482346601957],[229.72354125976562 887.8224487304688 304.8420715332031 931.0421752929688],0.30903923511505127,3091,0.30188414454460144
190,279.0,[7.1741910526536685 55.50443876868542 716.0465164014289 1277.4869201914921],[56.045166015625 149.68246459960938 397.95458984375 337.8066711425781],0.42943620681762695,DUULYUOIO,0.031110347973684446
209,306.0,[135.3129809230952 822.0983793010363 464.5536180347625 1283.8032291794839],[271.46380615234375 993.3611450195312 388.11810302734375 1060.902587890625],0.40962904691696167,29,0.9999767350188884
211,306.0,[112.87727300584922 806.4168276313804 445.9407026864708 1276.1782701651066],[245.640625 999.606689453125 359.1536865234375 1066.57861328125],0.3942396342754364,453H,0.6659536957740784
212,306.0,[100.75238263616609 820.9141721817545 431.2352509433348 1283.9278695782311],[232.81195068359375 997.9251708984375 349.60833740234375 1071.3765869140625],0.3328994810581207,297,0.9997074284686032
213,306.0,[75.98620465152354 824.9832953472901 409.0881634508012 1284.7596134583769],[202.24681091308594 1003.966552734375 325.239990234375 1081.573486328125],0.4511309564113617,053H,0.6736101508140564
